"id","state","city","district","h_name","address","pincode","contact","helpline","fax","category","website","email","blood_component","blood_group","service_time","latitude","longitude"
"1356","Maharashtra","Mumbai","Mumbai","St. Georges Hospital","St. Georges Hospital Fort. Mumbai","400001","022 22620344 , 022 22621420, 022 22620242,022 22624464","NA","022 22624464","NA","NA","NA","NA","NA","NA","[=19]19","[=73]73"
"1357","Maharashtra","Mumbai","Mumbai","Sir J.J.Group of Hospital","Main Building, Gr.floor, Sir J.J.Hospital Byculla Mumbai","400008","022 23739400, 022 23735599","NA","022 23735599","NA","NA","NA","NA","NA","NA","NA","NA"
"1358","Maharashtra","Mumbai","Mumbai","Mumbai Port Trust Blood Bank","Nadkarni Park, Wadala (E) Mumbai","400037","022 66567722, 022 4145115","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1359","Maharashtra","Mumbai","Mumbai","G.T.Hospital Blood Bank","Near L.T.Marg Police Station Mumbai","400001","022 22621468, 022 22031111","NA","022 22630553","NA","NA","NA","NA","NA","NA","[=19]19","[=73]73"
"1360","Maharashtra","Mumbai","Mumbai","INS, Ashwini Blood Bank","Colaba Mumbai","400005","022 2215166, 022 22151666","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1361","Maharashtra","Mumbai","Mumbai","Tata Memorial Hospital Blood Bank","5th Floor, Service Block,,Dr.E.Borges Road Parel Mumbai","400012","022 24177000, 022 24127096","NA","022 24146937","NA","NA","NA","NA","NA","NA","[=19]19","[=73]73"
"1362","Maharashtra","Mumbai","Mumbai","Dr. Babasaheb Ambedkar Memorial Hospital, Central Railway Hospital Blood Bank","Central Railway byculla(E) Mumbai","400027","022 23791964, 022 23717246, 022 67452926, 022 67452950, 022 23726588","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1363","Maharashtra","Mumbai","Mumbai","Cama and Albles Hospital, Abdul Fazalbhoy Blood Bank","Mahapalika Marg, Mumbai CST","400001","022 22611648","NA","022 22621197","NA","NA","NA","NA","NA","NA","[=19]19","[=73]73"
"1364","Maharashtra","Mumbai","Mumbai","Bhabha Atomic Research Centre Hospital Blood Bank","BARC Hospital, Anushakti Nagar Mumbai","400094","022 25598353, 022 25598361, 022 25558494","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1365","Maharashtra","Mumbai","Mumbai","Esic Model Hospital","ODC Blood Bank, Room No-20/A, Central Road MIDC Andheri (E),Mumbai","440002","022 28321361","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1366","Maharashtra","Mumbai","Mumbai","Anviksha Pathological Laboratory Blood Bank","Paras Darshan, M.G.Road, Ghatkopar-E Mumbai","400077","022 21026290, 022 21025927","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1367","Maharashtra","Mumbai","Mumbai","Asian Heart Institute and Research center","ICICI Tower, Bandra Kurla Complex , Bandra (E) Mumbai","400051","022 66986666, 022 26542088,022 66986506, 022 26508487","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1368","Maharashtra","Mumbai","Mumbai","West Coast Blood Bank","Basement 101,Moon Bldg,798, Mori Road, Mahim(W),Mumbai","400016","022 24444544, 022 24448899","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1369","Maharashtra","Mumbai","Mumbai","Fortis Hospital Blood Bank","Mulund Goregaon Link Road, Nahur , Mumbai","400078","022 67994370, 022 67994242","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1370","Maharashtra","Mumbai","Mumbai","Kohinoor hospital blood bank","Upper basement, room no - 29 to 43, Kirol road, off L.B.S Marg, Kurla (w)","NA","022 67556737, 022 67556800","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1371","Maharashtra","Mumbai","Mumbai","Seven hills Healthcare Private Limited Hospital","Blood Bank,2nd Floor, Block-16, Seven hills Hospital, Survey No.155, 156, 162 - 168 Part, Marol - Maroshi Road, Andheri(E), Mumbai","NA","022 67676767","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1372","Maharashtra","Mumbai","Mumbai","Haematology Laboratory Blood Bank","Parekh House, 14, Mama Parmanand Marg, Mumbai","400004","022 23691297,022 23610912","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1373","Maharashtra","Mumbai","Mumbai","Cumbal Hill Hospital And Heart Institute Blood Bank","93-95, August Kranti Maidan, Mumbai","400036","022 23803674,022 23803336,022 23514740 , 022 23511551","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1374","Maharashtra","Mumbai","Mumbai","Kapoorben Vasanji Lathiya Blood Bank Nanavati Hospital","Vile Parle (W), Mumbai","400056","022 26119924, 022 26182255,022 26630659","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1375","Maharashtra","Mumbai","Mumbai","Samarpan Blood Bank,","Swastraya Bldg ,Gr Floor, Hingwala Lane, Near Simming pool ,Ghatkopar (E), Mumbai","400077","022 25100100, 022 25102511, 022 25111313","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1376","Maharashtra","Mumbai","Mumbai","Bandra Holly Family Hospital Society Blood Bank","St.Andrews Road Bandra Mumbai","400050","022 30610300, 022 30610555, 022 26518373","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1377","Maharashtra","Mumbai","Mumbai","Holy Spirit Hospital Blood Bank","Mahakali Road, Andheri (E), Mumbai","400093","022 28200353, 022 28248505","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1378","Maharashtra","Mumbai","Mumbai","The B.D. Petit Parsi General Hospital","B.Petit Road, Cumballa Hill, Mumbai","400036","022 61186190, 022 61186192,022 61186333","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1379","Maharashtra","Mumbai","Mumbai","Breach Candy Hospital And Research Centre","60 A, Bhulabhai Desai Road Mumbai","400026","022 23667811, 022 23872666","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1380","Maharashtra","Mumbai","Mumbai","Jaslok Hospital And Research Centre","15,Dr.G.Deshmukh Marg, Mumbai","400026","022 66573434, 022 66573035","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1381","Maharashtra","Mumbai","Mumbai","Prince Aly Khan Hospital Blood Bank","Aga Hall, Nesbit Road, Mazgaon, Mumbai","400010","022 23777934, 022 23777936","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1382","Maharashtra","Mumbai","Mumbai","Bhatia General Hospital and Blood Bank","Tukaram Javji Road, Tardeo Mumbai","400007","022 66660656, 022 66660032","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1383","Maharashtra","Mumbai","Mumbai","Bombay Hospital Trust Blood Bank","12, New Marine Lines Mumbai","400020","022 22067676, 022 22080871, 022 22080871","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1384","Maharashtra","Mumbai","Mumbai","P.D. Hinduja National Hospital And Medical Research","Blood Bank, Veer Savarkar Road, Mahim (W), Mumbai","400016","022 24447308, 022 24447309, 022 24447310","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1385","Maharashtra","Mumbai","Mumbai","N.M Wadia Hospital Blood Bank","Acharya Donde Marg, Parel, Mumbai","400012","022 24165638 ,022 26666172","NA","022 24110438","NA","NA","NA","NA","NA","NA","[=19]19","[=73]73"
"1386","Maharashtra","Mumbai","Mumbai","Lilavati Hospital and Research Centre Blood Bank","A 791, Bandra Reclamation, Bandra (W), Mumbai","400050","022 26751000, 022 26568000, 022 26437648","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1387","Maharashtra","Mumbai","Mumbai","Ashirwad Blood Bank","Imperial Mahal, 2nd Floor above Shabana Stores,Khodadad Circle, Dr B.A Ambedkar Road Dadar TT Mumbai","400014","022 24154826, 022 24154827","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1388","Maharashtra","Mumbai","Mumbai","K.J.Somaiya Medical College and Hospital Blood Bank","Somaiya Ayurvihar Complex , Eastern Express Highway , Sion, Mumbai","400022","022 24024671, 022 24020946, 022 24091855","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1389","Maharashtra","Mumbai","Mumbai","S. R. Mehta and Sir. K.P Cardiac Institute","Plot No.96,Rd.No.31, King Circle Sion (E) Mumbai","400022","022 24035454, 022 2409 4732","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1390","Maharashtra","Mumbai","Mumbai","Shushrusha Citizens Co-op Hospital Blood Bank","698-B Ranade Road, Dadar, Mumbai","400028","022 24469579, 022 25288698","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1391","Maharashtra","Mumbai","Mumbai","B.S.E.S M.G. Hospital","Rotary D.J Goenka Blood Bank, Near Railway Station Andheri (W)","400058","022 66487576, 022 26283557, 022 26715000","NA","022 26714000, 022 26715000","NA","NA","NA","NA","NA","NA","[=19]19","[=73]73"
"1392","Maharashtra","Mumbai","Mumbai","Masina Hospital Blood Bank","Sant Savta Marg, Byculla (E)","400027","022 23700715, 022 23700715","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1393","Maharashtra","Mumbai","Mumbai","S. L. Raheja Hospital. Blood Bank","Mahim, Raheja Rugnalaya Marg, Mahim, Mumbai","400018","022 24445528, 022 66529682,022 24449418","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1394","Maharashtra","Mumbai","Mumbai","Dr. L. H. Hiranandani Hospital","Hill Side, Hiranandani Gardens Powai, Powai","400076","022 25763355, 022 25763356, 022 25763357,022 25763344, 022 25763311","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1395","Maharashtra","Mumbai","Mumbai","Prabodhan Blood Bank, Siddharth Hospital","Siddharth nagar,Prabhodhan Kridabhawan Marg Goregaon(w)","400092","022 28797586, 022 28722929, 022 28797586","NA","022 28797586, 022 28797587","NA","NA","NA","NA","NA","NA","[=19]19","[=73]73"
"1396","Maharashtra","Mumbai","Mumbai","Navjivan Blood Bank and Lab","Shop No.1, &#34;Abhilasha II&#34; Punjabi Lane Borivali (W)","400092","022 28934122, 022 28935133, 022 28918144, 022 28921727, 022 25339495","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1397","Maharashtra","Mumbai","Mumbai","Saifee Hospital Trust Blood Bank","15/17, Maharishi Karve Marg, Opp Charni Road Station","400004","022 67571140, 022 67570777","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1398","Maharashtra","Mumbai","Mumbai","Mahatma Gandhi Seva Mandir Blood Bank","Mahatma Gandhi Seva Mandir Hospital, 2nd floor, Opp. Bandra Lake, S V Road, Bandra (W),Mumbai","NA","022 26431893, 022 26431897","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1399","Maharashtra","Mumbai","Mumbai","Nandakishor Education SocietysMatoshri Valbai Mulji Shah, Arpan Blood Bank","Aniraj Tower, Janta Market, L.B.S Marg, Bhandup (W)","NA","022 25951044, 022 25941142","NA","022 67417980","NA","NA","NA","NA","NA","NA","[=19]19","[=73]73"
"1400","Maharashtra","Mumbai","Mumbai","Hi-tech Blood Transfusion and Allied services","Jignesh Apartment ,Sainath Road, Malad (W)","400064","022 28714060, 022 28714070","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1401","Maharashtra","Mumbai","Mumbai","Borivali Blood Bank (Doshi Memorial Charitable Trust)","3,4,5, Vithal Apartment, Near Ram Mandir, Mandpeshwar Road, opp. Flyover, Borivali(w)","400103","022 28936203, 022 28935219","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1402","Maharashtra","Mumbai","Mumbai","Sir J.J.Mahanagar Rakthapedhi","Sir J.J Mahanagar Raktapedhi,F.D. Petit Bldg., J.J.Campus,J.J.Road, Byculla, Mumbai","400008","022 23735585, 022 23733338","NA","022 23733338","NA","NA","NA","NA","NA","NA","NA","NA"
"1403","Maharashtra","Mumbai","Mumbai","Manas Serological Institute Blood Bank","CTS NO-167 / 168 / A1 101-104 Grace Plaza S.V.Road, near Railway Phatak, Jogeshwari (w),Mumbai","400102","022 26784546, 022 64208179","NA","NA","NA","NA","NA","NA","NA","NA","[=19]19","[=73]73"
"1404","Maharashtra","Mumbai","Mumbai","Kokilaben Dhibhai Ambani Blood Bank","4 bunglows, Achutrao Patwardhan Marg, Andheri (west),Mumbai","400053","022 30900900, 022 30972030","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1405","Maharashtra","Mumbai","Mumbai","Indian Red Cross Society Bombay City Branch Blood Bank","Blood Centre,141, Shahid Bhagatsingh Road, Town Hall Compound Near R.B.I Fort","400001","022 40500400, 022 22663195, 022 22677448, 022 22677448","NA","022 22677448","NA","NA","NA","NA","NA","NA","[=19]19","[=73]73"
"1406","Maharashtra","Mumbai","Mumbai","KEM Hospital Blood Bank","Acharya Donde Marg, Parel","400012","022 24135189, 022 24135189","NA","022 24135189","NA","NA","NA","NA","NA","NA","[=19]19","[=73]73"
"1407","Maharashtra","Mumbai","Mumbai","Harilal Bhagwati Hospital Blood Bank","SVP Road, Borivali-W, Mumbai","400103","022 28932461, 022 28933740","NA","NA","NA","NA","NA","NA","NA","NA","[=19]19","[=73]73"
"1408","Maharashtra","Mumbai","Mumbai","R.N.Cooper General Hospital Blood Bank","North south Road no-1,Juhu, Vile Parle (W) Mumbai","400056","022 26207254, 022 26205897","NA","022 26205897","NA","NA","NA","NA","NA","NA","[=19]19","[=73]73"
"1409","Maharashtra","Mumbai","Mumbai","K.B.Bhabha General Hospital","R.K.Patkar Marg, Bandra (W) Mumbai","400050","022 26422541, 022 26422775, 022 26405226","NA","022 26405226","NA","NA","NA","NA","NA","NA","[=19]19","[=73]73"
"1410","Maharashtra","Mumbai","Mumbai","BYL Nair Hospital","New OPD Bldg. 2nd Floor, Dr. A. L.Nair Road Mumbai Central Mumbai","400008","022 23027644, 022 23027645, 022 23098150","NA","022 23072663","NA","NA","NA","NA","NA","NA","[=19]19","[=73]73"
"1411","Maharashtra","Mumbai","Mumbai","Lokmanya Tilak Municipal Hospital Blood Bank","O.P.D Building, 1st floor, Sion (W), Mumbai","400022","022 24021771, 022 24063494, 022 24021771","NA","022 24021771","NA","NA","NA","NA","NA","NA","[=19]19","[=73]73"
"1412","Maharashtra","Mumbai","Mumbai","Rajawadi Hospital Blood Bank","Seth V.C. Gandhi and M.V. Vora M,Rajawadi, Ghatkopar-(E), Mumbai","400077","022 25094149, 022 27709285","NA","022 21027372","NA","NA","NA","NA","NA","NA","[=19]19","[=73]73"
"1413","Maharashtra","Mumbai","Mumbai","V.N. Desai Municipal General Hospital Blood Bank","T.P.S II, 11th Road, Santacruz (E) Mumbai","400055","022 26182081,022 26183018, 022 26151506","NA","022 26151506","NA","NA","NA","NA","NA","NA","[=19]19","[=73]73"
"1414","Maharashtra","Mumbai","Mumbai","M.T.Agarwal Mun.Gen.Hospital Blood Bank","Dr.R.P.Road, Mulund (W) Mumbai","400080","022 25640767,022 25605728","NA","022 25605728","NA","NA","NA","NA","NA","NA","[=19]19","[=73]73"
"1415","Maharashtra","Raigad","Raigad","District Civil Surgeon Blood Bank","District Hospital Blood Bank, Alibag","402201","NA","NA","NA","NA","NA","NA","NA","NA","NA","[=19]19","[=73]73"
"1416","Maharashtra","Ratnagiri","Ratnagiri","Civil Surgeon, General Hospital Blood Bank","Tal-District-Ratnagirii, Civil Hospital Ratnagiri","415612","02352 225616, 02252 222362","NA","NA","NA","NA","NA","NA","NA","NA","[=17]17","[=73]73"
"1417","Maharashtra","Sindhudurga","Sindhudurga","Civil Surgeon, General Hospital Blood Bank","Sindhudurg Oros,At post - Oros, Tal - Kudal Dist - Sindhudurga (Oros)","416812","0236 2228902","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1418","Maharashtra","Sindhudurga","Sindhudurga","Cottage Hospital, Blood Bank, Sawantwadi","Sub -Dist Cottage Hospital, Blood Bank, Sawantwadi ,C-Sindhudurg.","NA","02363 275035","NA","NA","NA","NA","NA","NA","NA","NA","[=16]16","[=74]74"
"1419","Maharashtra","Thane","Thane","Pantgashah Cottage Hospital Blood Bank","At Post - Jawhar, District - Thane","407603","02520 222293","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1420","Maharashtra","Thane","Thane","Civil Hospital (Vitthal Sayanna) Blood Bank","Tembhi Naka Thane (W)","400601","022 25472582, 022 25471409, 022 25471409","NA","NA","NA","NA","NA","NA","NA","NA","[=19]19","[=73]73"
"1421","Maharashtra","Thane","Thane","Central Hospital Blood Bank","Ulhasnagar, Central Hospital Nehru Chowk Road Ulhasnagar","421003","0251 2709432, 0251 2708730, 0251 2709432","NA","NA","NA","NA","NA","NA","NA","NA","[=19]19","[=73]73"
"1422","Maharashtra","Thane","Thane","Tarapore Automic Power Station Hospital Blood Bank","TAPS Hospital Blood Bank, TAPS Colony Near Boisar,TQ-Palghar Dist-Thane","401504","02525 264001, 02525 264001","NA","NA","NA","NA","NA","NA","NA","NA","[=20]20","[=73]73"
"1423","Maharashtra","Mumbai","Mumbai","Advanced centre for treatment research and education in cancer (ACTREC)","Tata Memorial Center, Owe Village, Sector 22,Plot no-2, Kharghar, Navi Mumbai","410208","022 27405073, 022 27405085","NA","022 27415085","NA","NA","NA","NA","NA","NA","[=19]19","[=73]73"
"1424","Maharashtra","Thane","Thane","JVP Blood Bank and Transfusion Centre, Blood Bank","201 ,213 Arenja Arcade Plot no- 4 Sec-17 ,Next to Apana Bazar, Vashi Navi Mumbai","400705","022 27894490,022 67912094","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1425","Maharashtra","Thane","Thane","Sankalp Blood Bank","Riddhi Siddhi-Opp.ICICI Bank, Near Ramchandra Hall, Murbad Road Kalyan-(W)","421301","0251 2300096, 0251 2203974","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1426","Maharashtra","Thane","Thane","Jupiter Hospital Blood Bank","Jupiter Hospital, Eastern Express Highway, Service Road, Near Voltas, Naupada, Thane (W)","400601","022 21725521, 022 21725555,022 25853320","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1427","Maharashtra","Mumbai","Mumbai","Dr. D.Y. Patil Hospital and Research Centre","Sector-5, Nerul(E) Navi Mumbai","400706","022 39215955, 022 39215994, 022 39219511","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1428","Maharashtra","Raigad","Raigad","Rotary Club New Panvel charitable Trust s Late Dr. B.V. Limaye Blood Bank","Plot No-8,sect.1, Khanda Colony, Mumbai Pune Road, New Panvel-(W)","410206","022 27459322, 022 32092960","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1429","Maharashtra","Raigad","Raigad","Kakasaheb Chitle Memorial Centre Sanchalit, Jankalyan Blood Bank,","Mahad, mahad dist- Raigad","402301","02145 222604, 02145 225103, 02145 224807","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1430","Maharashtra","Raigad","Raigad","Shree Sai Medical Trusts, Shree Sai Blood Bank","old Panvel,103,104,105,1st Floor Tirthraj Bldg.Old Thana naka Road, Near Police Station Old Panvel Dist-Raigad","410206","022 27467856, 022 27450885, 022 27463796","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1431","Maharashtra","Ratnagiri","Ratnagiri","Shree Swami Samarth Blood Bank","Darvan,TQ-Chiplun,Dist-Ratnagiri","415606","02355 264137, 02355 264149, 02355 264181","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1432","Maharashtra","Thane","Thane","Plasma Diagnostic Lab and Blood Bank","Meghdoot, Bldg, Gopal nagar, Hotel Janaki, Opp. Manjunath School, Dombivali( E)","421201","0251 2802491, 0251 2453568, 0251 2438078","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1433","Maharashtra","Thane","Thane","Vaidhya Blood Bank","1st Fr. Satyam Apartment, M.G Road,Jeevan Jyot Hospital near Naupada Police Station, Thane (W)","400602","022 25380787, 022 25411773, 022 25380787","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
